date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal
2025-03-11,76210.66910874125,down_trend,31.0,0,,31,price_up_speculation_up,-1.365847976462381,0.002587088039760488,76246.91784102756,76040.12042405852,76551.14652002351,0,372361.0,373841.6,382373.7,0,-1.3219196729214324,-0.9754874693373492,0.17107710677059618,-1.365847976462381,0,1.0,0
2025-03-12,75867.29421672014,down_trend,31.0,0,,31,price_up_speculation_up,-1.1547729394105848,-0.004505601329010234,76300.57327638307,76008.9678024012,76470.86257499154,0,372868.0,372546.4,380712.3,0,-1.4272652129593393,-1.045863564778121,0.22277270151299344,-1.1547729394105848,0,1.0,0
2025-03-13,75593.69962979163,down_trend,31.0,0,,31,price_up_speculation_up,-1.385898010586292,-0.0036062257096841632,76016.70788133537,75934.80510365638,76386.4204129209,0,374924.0,373289.6,379710.1,0,-1.5317928184851757,-1.0951910952400596,0.21248593016947548,-1.385898010586292,0,1.0,0
2025-03-14,75804.69022146142,down_trend,31.0,0,,31,price_up_speculation_up,-0.10651555189976049,0.0027911134486482414,75898.07346771269,75970.76718434051,76337.73519622728,0,373880.0,373288.4,377048.9,0,-1.1919558574625957,-1.1577050020734636,0.21688744086692224,-0.10651555189976049,0,1.0,0
2025-03-17,76478.7458593696,down_trend,31.0,0,,31,price_up_speculation_up,1.8432278042588661,0.008892004385730568,75991.01980721681,76050.61391782653,76304.05788457526,0,377358.0,374278.2,375614.0,0,-0.8677804977215231,-1.1984500486602236,0.12100162336519438,1.8432278042588661,0,1.0,0
2025-03-18,75675.40676742094,down_trend,31.0,0,,31,price_up_speculation_up,0.8325275451791392,-0.010504082970004047,75883.96733895275,76065.44258999015,76234.35872432272,0,382184.0,376242.8,375042.2,1,-0.8754896698987747,-1.1512108108758357,0.2233816320645502,0.8325275451791392,0,1.0,0
2025-03-19,75471.09885655322,down_trend,31.0,0,,31,price_up_speculation_up,-1.2554490757422145,-0.0026997927014206224,75804.72826691935,76052.65077165121,76142.26274434615,0,379904.0,377650.0,375098.2,1,-1.5178422581760698,-1.0951910952400596,0.22706958759995466,-1.2554490757422145,0,1.0,0
2025-03-20,73571.8434436724,down_trend,31.0,0,,31,price_up_speculation_up,2.0146330087442412,-0.02516533403721466,75400.35702969551,75708.53245551544,75960.04268294862,0,395206.0,381706.4,377498.0,1,-0.3003751208846147,-1.1359361418268197,0.2797423576189081,2.0146330087442412,0,1.0,0
2025-03-21,73544.80495589854,down_trend,31.0,0,,31,price_up_speculation_up,0.9528466398630965,-0.0003675113536413255,74948.37997658295,75423.22672214781,75801.87369388668,0,391937.0,385317.8,379303.1,1,-0.7407467908384623,-1.1359361418268197,0.2797423576189081,0.9528466398630965,0,1.0,0
2025-03-24,74012.59724792495,down_trend,31.0,0,,31,price_up_speculation_up,-0.18204968027670274,0.006360643587360437,74455.15025429401,75223.0850307554,75659.95294002802,0,382039.0,386254.0,380266.1,1,-1.2114405220558615,-1.1359361418268197,0.2797423576189081,-0.18204968027670274,0,1.0,0
2025-03-25,74047.76297333329,down_trend,31.0,0,,31,price_up_speculation_up,0.224880835292145,0.0004751316223985391,74129.62149547649,75006.79441721461,75523.45742063658,0,374287.0,384674.6,380458.7,1,-1.0946153390495554,-1.2016981897592287,0.3211762941386475,0.224880835292145,0,1.0,0
2025-03-26,74670.51762388021,down_trend,31.0,0,,31,price_up_speculation_up,0.5497239754959721,0.008410175075392878,73969.50524894187,74887.11675793062,75448.04228016592,0,366463.0,381986.4,379818.2,1,-0.9152897676466436,-1.1432855982560755,0.2797423576189081,0.5497239754959721,0,1.0,0
2025-03-27,74610.73315759437,down_trend,31.0,0,,31,price_up_speculation_up,0.07716185661181185,-0.0008006435228824493,74177.28319172628,74788.82011071089,75361.81260718363,0,367970.0,376539.2,379122.8,0,-0.9824448193687818,-1.0049525533480996,0.19674563641112897,0.07716185661181185,0,1.0,0
2025-03-28,74335.32282182087,down_trend,31.0,0,,31,price_up_speculation_up,-0.4675134250766385,-0.003691296467919325,74335.38676491074,74641.88337074683,75306.32527754368,0,367153.0,371582.4,378450.1,0,-1.0715067030750702,-0.9488672935077127,0.17693427410554657,-0.4675134250766385,0,1.0,0
2025-03-31,74451.19477532287,down_trend,31.0,0,,31,price_up_speculation_up,-0.9283294330588455,0.0015587737982889482,74423.10627039032,74439.12826234216,75244.87109008436,0,362587.0,367692.0,376973.0,0,-1.1335636518657015,-0.9488672935077127,0.13419372755460013,-0.9283294330588455,0,1.0,0
